ID,MonthlyIncome
1,5744.736826
2,2596.625701
3,12432.60852
4,2142.379006
5,2677.09537
6,6134.07759
7,5455.453275
8,2393.117851
9,2687.744269
10,12484.75435
11,9633.009773
12,2567.039766
13,5732.800827
14,5692.565992
15,5880.114035
16,5530.555077
17,5825.825044
18,5651.259579
19,5675.534607
20,2650.486663
21,5840.738272
22,8827.669539
23,8868.547923
24,5609.119095
25,9510.590141
26,8881.102472
27,8784.457476
28,15734.65308
29,6002.749188
30,2664.112792
31,2664.112792
32,5920.348869
33,6297.375605
34,2717.330204
35,16266.39222
36,5638.70503
37,9311.34662
38,5691.494414
39,2503.173455
40,2435.686365
41,19242.27015
42,2690.721498
43,2677.09537
44,12863.91451
45,5718.74667
46,5584.416039
47,2419.726558
48,5692.565992
49,2325.630761
50,2768.213937
51,2570.016995
52,2435.686365
53,5731.729248
54,5427.77299
55,16599.56334
56,2811.426
57,5880.114035
58,13106.39369
59,2091.495272
60,2758.208588
61,5737.097114
62,12785.80211
63,8854.278245
64,2516.156033
65,2435.686365
66,2556.390867
67,9027.772131
68,9068.006965
69,6107.468883
70,2435.686365
71,3012.600171
72,8989.895976
73,9673.888157
74,5557.807333
75,2395.45153
76,5624.650873
77,2449.312493
78,2406.100429
79,2730.956332
80,5813.270495
81,2384.431561
82,5895.027263
83,5691.494414
84,2636.860535
85,5387.538156
86,8595.837854
87,9832.468815
88,2548.991676
89,9296.861421
90,20022.93233
91,2650.486663
92,5786.23376
93,5906.294713
94,5893.312135
95,2503.173455
96,19580.34915
97,2596.625701
98,8976.913398
99,16411.37175
100,2596.625701
101,5759.409533
102,5880.973106
103,2596.625701
104,2435.686365
105,5611.668295
106,2556.390867
107,6161.329846
108,2636.860535
109,8985.847168
110,19106.2258
111,2581.309444
112,9069.078544
113,2664.112792
114,2596.625701
115,5799.644367
116,2717.330204
117,2435.686365
118,5759.409533
119,9215.963724
120,2543.408289
121,5892.668585
122,2596.625701
123,5906.938263
124,5678.939864
125,5388.609734
126,6040.625343
127,2516.156033
128,16592.55881
129,8934.747913
130,2325.630761
131,5903.317484
132,5570.789911
133,5785.59021
134,6174.312424
135,2893.182768
136,5839.879201
137,2503.173455
138,5785.59021
139,19281.43481
140,5837.117493
141,9027.772131
142,5852.43375
143,6150.705946
144,5812.198916
145,5839.879201
146,2717.330204
147,2893.182768
148,8854.278245
149,9030.13081
150,2051.260438
151,5880.757585
152,5415.21844
153,5678.511836
154,9086.169902
155,16146.97481
156,18695.19116
157,5745.355376
158,5692.565992
159,5665.957286
160,9350.294355
161,5652.331158
162,2811.426
163,12650.18438
164,2449.312493
165,5468.007824
166,2449.312493
167,5622.745223
168,9082.920193
169,12567.38104
170,5825.825044
171,2650.486663
172,2636.860535
173,8895.156629
174,6256.497221
175,2266.060737
176,2435.686365
177,5664.885708
178,12824.32322
179,2812.7131
180,5786.661789
181,9725.39044
182,2730.956332
183,5691.494414
184,2664.112792
185,2650.486663
186,2636.860535
187,5638.277001
188,15995.39728
189,6188.582102
190,2636.860535
191,5809.865237
192,5827.112144
193,5917.587162
194,2406.100429
195,5521.868786
196,2596.625701
197,3200.148214
198,19658.46155
199,5678.939864
200,2583.643123
201,2596.625701
202,5933.546969
203,2503.173455
204,5785.59021
205,5719.174699
206,16427.57207
207,19281.43481
208,5771.964082
209,5867.346978
210,6134.07759
211,2744.58246
212,2570.016995
213,2449.312493
214,6163.044974
215,8649.698817
216,9160.197112
217,5719.174699
218,2636.860535
219,2636.860535
220,5773.679211
221,5773.035661
222,5776.928919
223,12690.41922
224,5773.035661
225,5280.459781
226,5745.998926
227,3079.443711
228,2650.486663
229,2717.330204
230,5771.964082
231,19148.39128
232,5813.270495
233,5752.010342
234,9860.1491
235,2717.330204
236,2730.956332
237,2839.321806
238,5771.964082
239,5759.409533
240,5719.174699
241,5656.199417
242,12795.78387
243,12931.4016
244,6215.618837
245,9403.108738
246,2812.7131
247,6093.842755
248,5523.155886
249,9309.41597
250,2717.330204
251,9283.878843
252,15866.00648
253,5770.917503
254,15787.46746
255,2475.921199
256,2325.630761
257,2650.486663
258,5635.299772
259,16091.82675
260,2570.016995
261,12677.43664
262,16255.98384
263,5799.216338
264,2487.213648
265,2687.744269
266,2650.486663
267,2969.388108
268,5893.740163
269,9204.052725
270,15797.22393
271,5757.291375
272,5934.618547
273,9484.624985
274,5638.70503
275,5932.903419
276,5799.644367
277,5624.650873
278,2583.643123
279,2529.782161
280,5948.460197
281,2556.390867
282,5689.588764
283,6174.312424
284,2435.686365
285,6081.503727
286,12176.50181
287,2596.625701
288,5863.08265
289,2583.643123
290,5541.203976
291,2636.860535
292,8746.128292
293,2878.91309
294,8840.224088
295,2730.956332
296,2393.117851
297,8946.899434
298,5773.679211
299,2636.860535
300,2730.956332
